product_id,brand,product_full_name,description,brand_category,brand_canonical_url,details,modern,business_casual,classic,casual,androgynous,boho,retro,edgy,glam,romantic,athleisure
01E5ZXP5H0BTEZT9QD2HRZJ47A,A.L.C.,Lennox High Waist Cotton & Linen Pants,High-rise trousers tailored from a cool Italian cotton-and-linen blend make a refreshing addition to your work wardrobe.,Unknown,https://shop.nordstrom.com/s/a-l-c-lennox-high-waist-cotton-linen-pants/5529544,"True to size. High rise.
31"" inseam; 14"" leg opening; 12"" front rise; 15 1/2"" back rise (size 8)
Zip fly with hook-and-bar closure
Front slant pockets; back welt pockets
67% cotton, 33% linen
Dry clean
Imported
via C",1,1,1,0,0,0,0,0,0,0,0
01DSECZPAGJJC1EDC79JRBF4WK,Banana Republic,Mock-Neck Sweater Top,"Designed to be worn with high-waisted bottoms, this oh-so-now mock neck tank is knit in a Milano-stitch which adds structure and a smooth, flattering drape. Mock neck. Sleeveless. Center front seam detail. Straight hem.",Unknown,https://bananarepublic.gap.com/browse/product.do?pid=492444,"Designed to be worn with high-waisted bottoms, this oh-so-now mock neck tank is knit in a Milano-stitch which adds structure and a smooth, flattering drape.
Mock neck. Sleeveless.
Center front seam detail.
Straight hem.
40% rayon, 40% nylon, 20% cotton.
Wash and dry inside out. Machine wash cold, gentle cycle, tumble dry low, warm iron; or dry clean.
Imported.
Fitted shoulders, straight through the waist and hip.
Slightly cropped length hits above the hip.
Body length (size S): Petite 21"", Regular 22""
Model: Size XS, 5'10"" (178cm).",0,1,1,0,0,0,0,0,0,0,0
01DSECZPAGJJC1EDC79JRBF4WK,Banana Republic,Mock-Neck Sweater Top,"Designed to be worn with high-waisted bottoms, this oh-so-now mock neck tank is knit in a Milano-stitch which adds structure and a smooth, flattering drape. Mock neck. Sleeveless. Center front seam detail. Straight hem.",Unknown,https://bananarepublic.gap.com/browse/product.do?pid=492444,"Designed to be worn with high-waisted bottoms, this oh-so-now mock neck tank is knit in a Milano-stitch which adds structure and a smooth, flattering drape.
Mock neck. Sleeveless.
Center front seam detail.
Straight hem.
40% rayon, 40% nylon, 20% cotton.
Wash and dry inside out. Machine wash cold, gentle cycle, tumble dry low, warm iron; or dry clean.
Imported.
Fitted shoulders, straight through the waist and hip.
Slightly cropped length hits above the hip.
Body length (size S): Petite 21"", Regular 22""
Model: Size XS, 5'10"" (178cm).",0,1,1,0,0,0,0,0,0,0,0
01E607BHRQAJDZ76MJFN7RPRK1,Simon Miller,Rost Belted Shorts,"Cinched at the natural waist and pleated for fullness, these long woven shorts make a playful, on-point statement in a citrusy neon hue.",Unknown,https://shop.nordstrom.com/s/simon-miller-rost-belted-shorts/5450059,"True to size. XS=0-2, S=4-6, M=6-8, L=8-10, XL=10-12. High rise.
8"" inseam; 25"" leg opening; 14"" front rise; 18"" back rise (size Medium)
Zip fly with two-button closure
Front slant pockets; back flap pocket
Removable belt
Neon colors are brighter in person
100% polyester
Dry clean
Imported
SPACE: A shop for emerging and advanced designers",1,0,0,1,1,0,0,0,0,0,0
01E5ZXJ6G03R7177X723CT04W0,A.L.C.,Minelli Silk Sleeveless Top,"Painterly brushes of color that convey the flutter of butterfly wings fan out across a soft silk top with a skin-baring, sleeveless cut and plunging keyhole.",Unknown,https://shop.nordstrom.com/s/a-l-c-minelli-silk-sleeveless-top/5526479,"True to size.
25 1/2"" length (size Medium)
Front keyhole with button-and-loop closure
Stand collar
Sleeveless
100% silk
Dry clean
Imported
via C",1,0,0,1,0,1,0,0,0,0,0
01E6074PQA697JZ1SBM6NM8TBG,Simon Miller,Nepa Mismatched Button Rib Cardigan,"The West Coast–based label channels beachy vibes with a cropped, ribbed cardigan detailed with frosted sea glass–inspired buttons.",Unknown,https://shop.nordstrom.com/s/simon-miller-nepa-mismatched-button-rib-cardigan/5450071,"True to size. XS=0-2, S=4-6, M=6-8, L=8-10, XL=10-12.
21"" length (size Medium)
Front button closure
V-neck
Long sleeves
80% cotton, 20% nylon
Dry clean
Imported
SPACE: A shop for emerging and advanced designers",1,0,0,1,0,1,0,0,0,0,0
01E606A8ARCBXW8W94DJKKNQ0D,Stateside,Side Twist Tank Dress,Soft sophistication is the name of the game in this sleeveless twist-front frock crafted from Supima® cotton.,Unknown,https://shop.nordstrom.com/s/stateside-side-twist-tank-dress/5563429,"True to size. XS=00-0, S=2-4, M=6-8, L=10-12.
Slips on over head
Crewneck
Sleeveless
100% Supima cotton
Machine wash, tumble dry
Made in the USA
t.b.d.",1,0,1,1,0,0,0,0,0,0,0
01E605HN394TKXN18F4PF77MFM,Simon Miller,Denim Trousers,Trouser-cut ankle legs and an unadulterated medium-blue wash polish these laid-back jeans cut from nonstretch all-cotton denim.,Unknown,https://shop.nordstrom.com/s/simon-miller-denim-trousers/5450069,"True to size. 24=0, 25=0-2, 26=2, 27=4, 28=6, 29=8, 30=10, 31=12. High rise.
28"" inseam; 18"" leg opening; 11 1/2"" front rise; 14 1/2"" back rise (size 29)
Zip fly with button closure
Front welt coin pocket; back patch pockets
100% cotton
Machine wash, tumble dry
Made in the USA
SPACE: A shop for emerging and advanced designers",0,0,1,1,0,0,0,0,0,0,0
01E5ZSVW5PV46KVVB52DBX1DFY,A.L.C.,Sabrina Linen Blend Bustier Dress,A tailored bustier bodice and a swingy skirt highlight a dress that brings the tropical vacay vibes with an Italian stretch-linen blend and vibrant hue.,Unknown,https://shop.nordstrom.com/s/a-l-c-sabrina-linen-blend-bustier-dress/5526467,"True to size.
47"" length (size 8)
Hidden side-zip closure
Sweetheart neck
Sleeveless
Front slant pockets
Removable belt
Partially lined
54% linen, 44% viscose, 2% elastane
Dry clean
Imported
via C",0,0,1,1,0,0,1,0,0,0,0
01E5ZSBVVP5HXZSTP60MFAJSW8,Simon Miller,Paint Splatter Crop Bell Jeans,These nonstretch all-cotton jeans exude a relaxed West Coast vibe with colorful paint splatters and a cropped bell-bottom silhouette.,Unknown,https://shop.nordstrom.com/s/simon-miller-paint-splatter-crop-bell-jeans/5450075,"True to size. 24=0, 25=0-2, 26=2, 27=4, 28=6, 29=8, 30=10, 31=12. High rise.
28"" inseam; 20"" leg opening; 11"" front rise; 15"" back rise (size 29)
Zip fly with button closure
Five-pocket style
100% cotton
Machine wash, tumble dry
Imported
SPACE: A shop for emerging and advanced designers",1,0,0,1,0,0,0,1,0,0,0
